               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10152,            0.049828,            0.024587,            0.061958,             0.23651,             0.13269,            0.053088,            0.094032,            0.054224,            0.022456,            0.070732,            0.003252,            0.003252
                   1,            0.072349,            0.045495,            0.012388,              0.4415,             0.16374,             0.21539,              0.1234,            0.088769,            0.049368,             0.01632,             0.04008,           0.0059334,           0.0059334
                   2,            0.074075,            0.037364,           0.0072787,             0.20587,             0.22773,              0.1734,            0.057449,            0.091459,            0.047981,            0.011265,           0.0087678,           0.0079548,           0.0079548
                   3,            0.072833,            0.033868,           0.0055602,             0.25248,             0.24718,             0.24976,            0.067399,            0.085287,            0.048198,            0.012087,             0.00703,             0.00703,             0.00703
                   4,            0.069834,            0.032067,           0.0048904,             0.25608,             0.42599,             0.28669,             0.10703,            0.086589,            0.047812,            0.013639,             0.00703,             0.00703,             0.00703
                   5,            0.062504,            0.030709,           0.0039612,             0.34776,             0.38544,             0.30524,             0.13913,            0.081773,             0.05315,            0.017032,             0.00604,             0.00604,             0.00604
                   6,            0.055439,             0.03012,           0.0032084,             0.52315,             0.36111,             0.33578,             0.15606,            0.078187,            0.056213,               0.014,             0.00505,             0.00505,             0.00505
                   7,             0.04944,            0.029217,           0.0030132,             0.70187,             0.35413,              0.4237,             0.16246,            0.077774,            0.056933,            0.013444,             0.00406,             0.00406,             0.00406
                   8,            0.047599,            0.030251,            0.002858,             0.80121,             0.35982,             0.46603,             0.20614,            0.072451,            0.057745,            0.013261,             0.00307,             0.00307,             0.00307
                   9,            0.044473,            0.027777,           0.0026311,             0.82604,             0.37066,             0.47589,             0.20455,            0.073733,            0.059324,            0.012369,             0.00208,             0.00208,             0.00208
